threshold,precision,recall,f1,auc,accuracy
0.0,0.29,1.0,0.44,0.97,0.29
0.05,0.87,0.91,0.89,0.97,0.94
0.1,0.95,0.91,0.93,0.97,0.96
0.15,0.95,0.91,0.93,0.97,0.96
0.2,0.95,0.86,0.9,0.97,0.95
0.25,0.95,0.86,0.9,0.97,0.95
0.3,0.95,0.86,0.9,0.97,0.95
0.35,0.95,0.86,0.9,0.97,0.95
0.4,0.95,0.86,0.9,0.97,0.95
0.45,0.95,0.86,0.9,0.97,0.95
0.5,0.95,0.86,0.9,0.97,0.95
0.55,0.95,0.86,0.9,0.97,0.95
0.6,0.95,0.82,0.88,0.97,0.94
0.65,0.95,0.82,0.88,0.97,0.94
0.7,1.0,0.77,0.87,0.97,0.94
0.75,1.0,0.77,0.87,0.97,0.94
0.8,1.0,0.77,0.87,0.97,0.94
0.85,1.0,0.77,0.87,0.97,0.94
0.9,1.0,0.77,0.87,0.97,0.94
0.95,1.0,0.68,0.81,0.97,0.91
1.0,1.0,0.68,0.81,0.97,0.91
